time,activity,type,description,color,focus
8:00 AM,Wake Up & Morning Routine,routine,"Wake up refreshed, hydrate, basic morning routine",#E3F2FD,
8:30 AM,Breakfast,meal,"Nutritious breakfast - oats, fruits, or eggs",#F3E5F5,
9:10 AM,Leave for College,travel,Travel time - review notes or listen to tech podcasts,#E8F5E8,
9:30 AM - 3:00 PM,College Classes,academic,"Active participation, note-taking, networking",#FFF3E0,
3:00 PM,Return Home,travel,Commute back - mental transition time,#E8F5E8,
3:30 PM - 4:30 PM,Python Coding Practice,study,"Daily Python exercises, coding challenges",#FFEB3B,python
4:30 PM - 5:00 PM,Cybersecurity Reading,study,"Security articles, vulnerability reports",#FF9800,cybersecurity
5:00 PM - 6:00 PM,Snack Time,meal,"Healthy snacks - nuts, fruits, green tea",#F3E5F5,
6:00 PM - 7:30 PM,Project Development,project,Work on cybersecurity/Python projects,#4CAF50,projects
7:30 PM - 8:00 PM,Physical Activity,health,"Exercise, walk, or stretching",#00BCD4,
8:00 PM - 8:40 PM,Review & Plan,planning,"Review day's learning, plan tomorrow",#9C27B0,
8:40 PM - 9:00 PM,Dinner,meal,Balanced dinner with proteins and vegetables,#F3E5F5,
9:00 PM - 9:30 PM,Digest & Unwind,break,"Light activity, music, or family time",#E1F5FE,
9:30 PM - 10:00 PM,Python Deep Dive,study,"Advanced Python concepts, libraries",#FFEB3B,python
10:00 PM - 10:05 PM,Micro Break,break,"Stretch, hydrate, eye rest",#E1F5FE,
10:05 PM - 10:35 PM,Cybersecurity Theory,study,"Security concepts, tools, methodologies",#FF9800,cybersecurity
10:35 PM - 10:40 PM,Micro Break,break,"Quick movement, breathing exercise",#E1F5FE,
10:40 PM - 11:00 PM,Practical Labs,study,"Hands-on security tools, Python scripting",#4CAF50,practical
11:00 PM - 11:45 PM,Active Rest Period,break,"Light meal, relaxation, no screens",#E1F5FE,
11:45 PM - 12:15 AM,Project Work,project,"Coding projects, debugging, testing",#4CAF50,projects
12:15 AM - 12:20 AM,Micro Break,break,Quick stretch and hydration,#E1F5FE,
12:20 AM - 12:45 AM,Review & Documentation,study,"Code review, project documentation",#9C27B0,documentation
12:45 AM - 1:00 AM,Sleep Preparation,routine,"Wind down, no screens, prepare for quality sleep",#E3F2FD,
